Company Name,Location,Sector,Email,Phone,LinkedIn,Twitter,Website,Notes
Complete Farmer,Accra Ghana,Agritech,hello@completefarmer.com,+233-XXX-XXXX,/company/complete-farmer,@completefarmer,https://completefarmer.com,Agricultural platform
Starsight Energy,Accra Ghana,Clean Energy,info@starsightenergy.com,+233-XXX-XXXX,/company/starsight-energy,@starsightenergy,https://starsightenergy.com/ghana/,Clean energy generation
Abellon CleanEnergy Ghana Ltd,Accra Ghana,Clean Energy,info@abelloncleanenergy.com,+233-XXX-XXXX,/company/abellon-cleanenergy,@abellonclean,https://www.abelloncleanenergy.com,Clean cooking solutions
Sustainable Energy Technologies Limited,Accra Ghana,Clean Energy,contact@sustainableenergygh.com,+233-XXX-XXXX,/company/sustainable-energy-tech-ghana,@sustainablegh,https://sustainableenergygh.com,Energy solutions
Ecovon Team,Accra Ghana,Clean Energy,info@ecovon.com,+233-XXX-XXXX,/company/ecovon,@ecovonteam,https://ecovon.com,Clean energy
Kofa,Accra Ghana,Clean Energy,hello@kofa.co,+233-XXX-XXXX,/company/kofa,@kofaenergy,https://www.kofa.co/,Clean energy access
Joluud,Accra Ghana,Fintech,contact@joluud.com,+233-XXX-XXXX,/company/joluud,@joluud,https://joluud.com,Fintech solutions
Hysata,Accra Ghana,Tech,info@hysata.com,+233-XXX-XXXX,/company/hysata,@hysata,https://hysata.com,Tech innovation
Ghana Innovation and AI Hub,Accra Ghana,Innovation Hub,info@ghanaaihub.com,+233-XXX-XXXX,/company/ghana-ai-hub,@ghanaaihub,https://ghanaaihub.com,$1B Ghana-UAE deal
Polymath Network,Barbados,Fintech/Blockchain,contact@polymath.network,+1-XXX-XXXX,/company/polymath-network,@polymathnetwork,https://polymath.network,Security tokens
Bitt,Barbados,Fintech/CBDC,info@bitt.com,+1-XXX-XXXX,/company/bitt,@bittinc,https://bitt.com,Digital currency systems
Shyft Network,Barbados,Blockchain,hello@shyft.network,+1-XXX-XXXX,/company/shyft-network,@shyftnetwork,https://shyft.network,Identity verification
Bridge Network,Barbados,Blockchain/Fintech,contact@bridge.network,+1-XXX-XXXX,/company/bridge-network,@bridgenetwork,https://bridge.network,Cross-chain transactions
Payce Digital,Barbados,Fintech,info@paycedigital.com,+1-XXX-XXXX,/company/payce-digital,@paycedigital,https://paycedigital.com,Digital payments
mMoney,Barbados,Fintech,contact@mmoney.bb,+1-XXX-XXXX,/company/mmoney,@mmoneybarbados,https://mmoney.bb,Mobile money
Chelsea Avondale,Barbados,Fintech,info@chelseaavondale.com,+1-XXX-XXXX,/company/chelsea-avondale,@chelseaavondale,https://chelseaavondale.com,Financial services
Tabit Insurance,Barbados,Fintech/Insurance,contact@tabitinsurance.com,+1-XXX-XXXX,/company/tabit-insurance,@tabitinsurance,https://tabitinsurance.com,Insurance tech
Rum and Sargassum Inc,Barbados,Clean Energy/Biofuel,info@rumandsargassum.com,+1-XXX-XXXX,/company/rum-and-sargassum,@rumsargassum,https://rumandsargassum.com,Biofuel solutions
Blue Green Bank,Barbados,Climate Finance,contact@bluegreenbank.bb,+1-XXX-XXXX,/company/blue-green-bank,@bluegreenbank,https://bluegreenbank.bb,Sustainable finance
Bloom CleanTech Cluster,Barbados,Clean Energy,info@bloomcleantech.com,+1-XXX-XXXX,/company/bloom-cleantech,@bloomcleantech,https://www.businessbarbados.com/articles/the-bloom-cleantech-cluster,Clean energy cluster
Smart Fund,Barbados,Renewable Energy Finance,contact@smartfund.bb,+1-XXX-XXXX,/company/smart-fund-barbados,@smartfundbarbados,https://smartfund.bb,Energy finance
Renewstable Barbados Project,Barbados,Renewable Energy,info@renewstable.bb,+1-XXX-XXXX,/company/renewstable,@renewstable,https://www.greenclimate.fund/project/fp224,GHG reduction
MedRegis,Barbados,Healthtech,contact@medregis.com,+1-XXX-XXXX,/company/medregis,@medregis,https://medregis.com,Electronic health records
Barbados Immigration Department,Barbados,Government/Citizenship,Immigration.citizenship@barbados.gov.bb,535-4195,N/A,N/A,https://immigration.gov.bb/pages/contactus.aspx,Citizenship services
Century Capital,St Lucia,Citizenship by Investment,info@century.capital,+758-453-7777,/company/century-capital,@centurycapital,https://century.capital/,Caribbean CBI programs
Barbados Welcome Stamp Program,Barbados,Government/Digital Nomad,N/A,N/A,N/A,N/A,https://immigration.gov.bb/,12-month remote work visa
